,fire_size_class,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont
1218,B,6,6,6,6,1,0,0,1,4,4,3,3,6,5,5,0
1219,C,3,3,3,1,1,2,2,1,2,2,1,0,2,3,4,1
1220,B,0,0,0,1,6,6,6,5,3,3,1,1,3,3,3,3
1221,B,0,0,0,3,3,5,4,4,3,3,2,3,1,1,1,0
1222,B,4,4,4,5,3,3,4,2,2,3,3,4,1,0,1,3
1223,C,0,1,0,0,3,2,2,3,5,4,5,4,6,5,5,4
1224,B,5,5,4,3,1,2,1,2,3,4,2,2,2,4,0,3
1225,B,4,4,4,4,3,3,3,3,6,6,6,6,1,2,4,1
1226,B,6,5,6,5,0,0,0,0,6,6,6,6,1,3,5,6
1227,B,2,1,1,0,4,4,4,5,3,3,3,0,5,5,2,1
1228,B,4,4,4,2,4,5,6,6,1,2,4,4,3,5,6,2
1229,B,2,3,3,4,6,6,6,6,1,1,1,4,3,2,2,6
1230,B,4,4,4,5,2,2,0,4,6,6,5,4,5,2,0,3
1231,B,0,0,0,0,5,5,6,6,5,4,2,3,6,5,3,6
1232,B,1,0,0,1,0,0,0,0,3,2,2,1,6,4,5,5
1233,B,5,5,5,2,1,1,1,5,4,5,5,4,2,1,3,5
1234,B,3,2,2,2,1,0,0,1,3,1,2,4,3,0,1,3
1235,C,0,0,0,0,6,6,6,6,3,4,4,2,4,6,3,4
1236,B,5,6,5,5,4,3,3,1,6,6,6,6,6,5,2,1
1237,B,4,5,5,4,4,2,2,3,6,4,5,5,3,1,2,2
1238,B,5,5,5,4,0,0,0,2,3,2,3,0,4,3,4,0
1239,B,2,3,2,2,1,0,1,1,2,2,3,5,6,4,5,6
1240,D,0,0,0,2,3,2,3,1,4,3,4,5,4,5,5,5
1241,C,6,6,6,6,1,1,3,0,4,4,3,6,3,4,5,5
1242,C,3,3,3,1,1,1,1,3,6,6,6,6,5,6,2,5
1243,B,2,1,1,3,5,6,6,5,1,1,1,2,5,5,6,4
1244,B,1,1,1,0,2,2,3,3,1,0,1,1,4,2,3,6
1245,B,4,3,2,1,0,0,0,0,4,5,3,2,4,4,5,5
1246,B,1,1,2,2,3,2,3,4,6,6,5,5,6,2,3,5
1247,C,3,3,2,0,0,0,0,0,3,2,1,3,3,2,1,6
1248,B,3,4,3,4,5,5,6,5,5,6,6,6,6,6,6,6
1249,B,1,2,2,2,5,5,6,4,1,1,1,1,5,5,5,6
1250,C,4,3,3,2,5,5,5,5,6,5,4,3,5,5,0,2
1251,B,3,3,1,4,2,2,2,0,5,5,6,6,6,6,6,3
1252,B,0,0,1,0,2,2,2,4,0,1,5,1,4,4,6,4
1253,B,0,0,0,1,3,3,1,2,2,1,0,3,5,6,1,5
1254,C,1,0,0,1,0,0,0,0,6,6,5,5,6,6,5,3
1255,B,0,0,0,0,5,3,2,4,2,1,0,3,1,1,1,4
1256,C,4,4,4,2,4,4,4,5,1,2,3,0,1,2,1,0
1257,F,0,0,0,0,6,6,6,6,2,2,1,3,0,1,2,5
1258,B,5,5,5,5,6,6,6,5,3,2,2,3,0,1,0,2
1259,C,0,0,0,0,1,2,1,3,6,6,6,5,3,4,2,4
1260,B,5,6,5,5,5,3,4,3,0,0,0,0,1,2,3,3
1261,B,5,5,5,5,0,0,0,0,6,5,4,5,5,3,0,4
1262,C,4,4,4,4,4,4,3,4,6,6,6,6,3,4,0,4
1263,B,3,3,3,2,0,0,0,0,6,6,5,5,4,4,4,4
1264,B,5,5,5,4,0,0,0,0,4,2,2,4,2,0,0,2
1265,B,6,6,6,6,0,0,1,1,4,3,3,6,4,3,4,6
1266,B,3,3,3,3,6,4,6,6,5,6,6,3,6,5,5,4
1267,B,1,0,0,0,1,0,0,0,3,3,1,4,3,3,1,1
1268,B,1,2,1,2,6,6,6,5,1,1,2,3,5,2,3,6
1269,C,3,3,3,3,3,4,5,5,2,2,1,1,0,1,2,1
1270,B,1,1,1,2,4,4,2,5,4,5,6,3,5,5,6,5
1271,B,5,5,5,4,1,2,2,1,5,4,5,4,4,5,6,3
1272,B,3,3,2,3,4,4,2,2,5,4,3,5,5,4,5,4
1273,F,4,4,4,4,6,6,5,4,0,0,0,0,1,2,3,1
1274,B,0,0,1,0,1,1,2,6,5,5,1,0,3,4,1,0
1275,B,2,2,2,4,3,4,4,3,3,2,3,4,5,5,6,5
1276,C,2,2,2,3,4,4,4,3,2,3,2,3,5,5,4,3
1277,B,4,4,3,3,2,1,2,0,0,0,0,0,0,1,2,1
1278,B,1,1,0,2,3,4,4,3,1,1,1,3,2,1,3,2
1279,B,0,0,0,0,6,6,6,6,2,2,1,1,0,0,1,2
1280,B,5,4,4,3,1,1,3,1,5,4,4,5,2,3,5,4
1281,C,0,0,1,1,3,3,1,3,2,2,4,2,4,3,5,4
1282,B,3,3,3,3,4,5,3,4,5,5,5,6,2,4,0,6
1283,B,2,3,3,3,3,4,5,2,2,2,1,3,5,3,4,4
1284,B,5,5,5,4,6,6,6,6,2,2,2,3,2,3,5,4
1285,B,5,5,4,2,0,0,0,0,5,4,4,5,3,4,5,5
1286,B,1,2,2,1,3,3,2,3,3,1,2,5,5,4,3,4
1287,B,3,2,2,2,3,4,3,1,0,0,0,0,1,1,2,0
1288,D,6,6,6,6,3,2,3,2,6,6,6,6,6,6,6,6
1289,C,0,0,0,2,6,6,6,6,4,4,3,5,4,6,6,4
1290,B,0,1,1,1,6,6,6,6,1,1,0,5,3,4,0,5
1291,B,2,2,3,2,5,4,4,5,5,5,6,4,6,6,4,6
1292,B,0,0,0,0,4,4,3,6,2,2,1,2,2,0,0,1
1293,B,5,5,6,6,5,5,4,2,3,2,2,2,3,3,4,2
1294,B,6,5,5,4,1,2,1,2,3,5,5,2,0,0,1,4
1295,B,3,3,3,2,5,5,5,5,1,1,1,2,0,1,2,2
1296,B,2,2,1,2,6,6,6,6,6,6,6,6,0,0,0,0
1297,B,2,1,1,3,3,4,5,2,1,0,1,2,1,2,4,6
1298,B,1,1,1,2,5,3,3,5,4,6,4,5,5,6,4,6
1299,B,2,2,2,1,6,6,6,6,6,6,6,6,5,5,2,6
1300,C,3,3,4,5,6,6,6,6,0,0,0,0,1,2,2,0
1301,B,2,2,2,3,4,4,5,3,4,3,1,0,6,6,1,3
1302,B,2,2,2,1,3,4,5,3,3,3,2,1,3,4,0,3
1303,B,1,1,1,0,5,5,6,6,0,0,0,2,6,2,0,2
1304,B,5,5,5,6,5,5,5,3,1,2,4,4,3,5,3,3
1305,B,2,2,2,4,3,4,5,3,4,5,4,3,5,4,4,5
1306,B,3,2,3,3,6,6,5,6,0,0,1,2,3,4,5,2
1307,C,1,1,1,1,4,4,5,5,1,1,0,1,2,1,0,2
1308,B,4,3,3,4,3,4,3,3,0,0,1,1,0,0,0,4
1309,B,1,1,1,2,6,5,6,6,1,1,1,1,1,3,5,4
1310,C,2,1,2,2,1,1,1,2,3,2,1,4,3,3,3,6
1311,B,0,0,0,1,2,3,3,3,5,4,5,3,4,4,5,6
1312,C,2,3,4,2,3,3,5,3,4,4,4,3,5,3,5,6
1313,B,3,3,2,1,4,5,4,4,3,4,3,1,3,2,2,1
1314,B,0,0,0,0,2,1,2,2,4,1,1,1,5,0,2,3
1315,B,6,6,6,6,1,1,2,2,6,5,4,3,1,2,0,2
1316,B,6,6,6,6,0,0,0,0,5,5,5,5,4,5,2,5
1317,C,1,1,1,2,6,6,6,6,2,3,6,3,0,1,2,1
1318,C,4,4,2,1,2,3,4,2,6,6,3,3,5,6,2,0
1319,B,2,1,2,2,3,2,2,4,3,2,2,1,2,2,4,0
1320,B,5,5,5,4,2,1,1,2,0,0,0,1,0,2,1,0
1321,B,6,6,6,6,0,0,0,0,3,4,4,4,4,4,6,0
1322,C,5,5,6,6,1,1,1,1,2,4,5,2,2,4,2,0
1323,B,6,6,6,6,1,1,0,0,4,3,2,3,0,1,2,2
1324,B,2,2,2,1,3,4,5,3,3,3,2,1,3,4,0,3
1325,B,2,2,1,3,2,4,3,0,1,2,3,3,4,5,5,4
1326,E,1,1,1,1,3,3,3,4,4,2,4,1,6,5,6,0
1327,B,4,4,4,6,2,2,2,4,1,1,0,0,1,2,2,1
1328,C,0,0,0,2,2,4,3,4,5,5,5,3,1,3,1,1
1329,B,2,2,1,0,4,4,4,5,1,1,3,2,4,3,5,5
1330,B,0,1,1,1,6,5,5,5,0,0,0,0,1,3,1,2
1331,B,5,5,6,6,6,5,6,6,2,4,3,3,3,4,5,4
1332,B,1,2,1,3,5,5,4,4,1,1,0,2,5,4,5,6
1333,B,0,0,0,0,5,6,6,6,6,4,6,3,6,6,6,5
1334,C,2,3,3,1,6,6,6,2,2,1,2,4,5,3,3,1
1335,B,2,2,2,1,1,0,2,2,5,5,5,2,5,6,6,2
1336,B,4,4,3,2,0,0,0,0,4,3,5,5,2,3,4,0
1337,B,0,1,1,1,3,4,2,3,4,3,4,1,4,3,4,2
1338,E,6,6,6,6,3,3,2,4,6,6,6,6,6,6,6,6
1339,B,4,4,4,5,0,0,0,0,5,5,6,6,0,0,1,5
1340,B,0,0,0,0,6,6,6,6,2,0,2,0,1,0,1,0
1341,C,5,6,6,6,6,6,6,6,1,0,1,0,6,3,4,6
1342,B,6,6,6,6,0,0,0,1,3,1,1,5,2,2,3,2
1343,B,5,5,5,5,3,3,4,3,3,4,4,5,6,4,5,5
1344,B,2,1,1,0,0,0,0,0,5,5,5,5,1,0,0,5
1345,B,0,0,0,0,1,2,1,4,1,1,0,1,5,5,3,3
1346,B,6,6,6,6,4,4,3,3,1,1,0,0,1,0,2,0
1347,B,1,0,1,1,3,3,2,4,3,2,3,0,2,3,4,2
1348,C,6,6,6,6,3,3,2,0,4,4,5,5,0,1,0,0
1349,B,4,4,5,5,2,1,0,3,4,4,5,4,5,3,2,2
1350,C,4,5,4,4,1,1,2,1,0,0,0,0,1,0,1,0
1351,B,2,2,1,2,6,6,5,6,0,0,0,0,0,1,2,5
1352,C,1,1,1,1,6,6,5,6,1,4,3,4,3,5,4,4
1353,B,4,4,4,4,3,2,2,3,6,6,4,5,3,2,0,1
1354,B,2,3,2,2,6,6,6,3,0,0,1,0,2,1,3,0
1355,B,0,0,0,0,6,5,5,6,5,5,4,4,4,5,5,4
1356,B,1,0,1,1,4,3,5,5,3,2,1,2,2,2,3,4
1357,B,3,4,4,3,4,5,6,4,4,3,3,4,4,3,4,5
1358,B,2,2,2,3,3,2,2,2,1,2,1,6,2,4,0,6
1359,C,6,6,5,6,2,0,0,0,5,6,5,5,1,2,3,2
1360,C,4,3,3,3,1,2,2,0,5,5,4,5,4,3,4,0
1361,B,3,2,2,4,4,5,5,3,1,2,3,1,3,5,5,2
1362,C,3,3,3,3,4,4,3,4,6,5,5,6,2,4,0,6
1363,C,4,5,5,5,6,6,6,6,0,0,0,0,3,0,0,0
1364,B,1,1,3,3,2,2,2,2,1,2,2,1,3,3,3,2
1365,B,2,2,2,1,1,1,1,1,5,5,5,5,5,5,5,5
1366,B,0,0,1,1,1,1,2,1,2,3,2,2,4,4,5,3
1367,C,5,5,5,5,1,1,1,1,6,5,5,6,5,1,2,5
1368,B,3,3,3,0,5,5,6,6,1,1,0,3,5,3,5,2
1369,C,4,3,3,0,5,5,6,6,0,0,0,0,2,4,0,4
1370,C,1,0,0,0,1,3,3,5,6,5,3,4,6,6,5,2
1371,B,4,4,4,3,2,1,0,1,5,4,5,5,1,0,1,1
1372,B,3,2,3,4,4,3,1,3,4,5,5,5,6,6,3,6
1373,B,5,5,4,4,0,0,2,0,5,3,2,2,4,0,2,1
1374,B,1,1,1,0,3,3,2,3,3,2,3,1,6,5,5,4
1375,C,6,5,5,4,6,6,6,5,0,0,1,2,0,0,0,2
1376,B,4,3,3,3,2,2,3,2,5,4,4,2,4,0,0,1
1377,B,1,2,2,2,2,3,3,2,4,5,3,4,3,4,1,5
1378,B,5,5,4,3,5,6,6,5,4,5,5,2,5,6,6,2
1379,B,2,2,1,2,5,5,5,4,4,3,5,4,5,6,6,4
1380,B,2,1,2,4,5,5,3,6,4,6,6,3,1,2,4,2
1381,B,4,4,4,2,1,1,2,0,6,6,5,4,4,4,0,4
1382,B,6,6,5,5,4,4,4,4,0,0,0,0,0,1,2,0
1383,D,6,6,6,6,3,3,3,2,4,4,4,5,3,5,0,5
1384,D,6,6,6,5,0,0,1,2,3,2,1,6,0,0,0,6
1385,B,3,3,3,4,4,5,4,4,5,6,5,6,0,0,0,0
1386,B,4,5,5,4,3,4,5,3,5,5,3,6,5,6,0,5
1387,C,6,6,6,6,0,1,2,0,3,1,1,3,0,0,1,3
1388,C,1,0,0,2,1,2,1,1,4,6,5,3,5,6,4,5
1389,C,3,3,4,4,4,3,4,3,4,5,5,5,6,2,0,4
1390,B,5,4,4,2,3,0,0,1,6,5,5,4,6,3,4,4
1391,B,4,3,3,2,1,0,1,1,0,0,2,1,3,3,5,1
1392,B,3,2,2,0,0,0,0,0,4,6,6,6,0,0,1,1
1393,B,4,4,3,5,5,6,6,5,1,1,1,3,3,5,6,1
1394,B,5,6,6,6,5,5,5,5,1,1,1,1,1,0,1,4
1395,B,2,1,2,2,1,1,2,2,3,2,1,4,3,3,3,6
1396,B,3,3,4,2,5,5,5,5,3,1,1,1,6,4,2,5
1397,C,2,1,2,0,6,6,5,6,0,0,0,6,2,0,1,1
1398,B,2,3,4,3,0,0,0,0,2,3,3,5,3,2,1,3
1399,B,3,2,3,2,4,5,3,5,2,3,2,4,5,6,4,2
1400,B,2,2,2,4,1,1,0,0,2,3,1,1,3,4,2,2
1401,B,4,5,5,5,2,2,1,1,1,3,4,4,4,6,5,3
1402,C,2,2,2,0,2,3,1,4,6,6,5,2,6,6,5,5
1403,B,2,2,2,2,2,2,0,2,5,3,2,4,6,5,3,5
1404,C,3,4,3,5,5,6,6,5,3,3,1,1,6,6,5,4
1405,B,1,2,2,3,5,6,5,2,2,1,0,2,3,3,2,0
1406,B,5,5,5,5,5,3,5,3,5,5,6,6,5,5,6,1
1407,C,1,1,1,2,4,5,6,6,3,1,1,3,1,0,0,4
1408,C,4,3,4,3,5,5,6,4,1,1,0,1,3,3,4,4
1409,B,0,0,1,1,4,3,3,3,2,4,6,5,3,5,4,3
1410,B,0,1,2,0,2,3,3,4,2,1,3,1,6,6,1,6
1411,B,4,3,3,5,4,3,4,3,3,4,5,5,6,6,6,6
1412,B,4,5,5,6,5,4,4,5,2,1,2,1,2,2,4,2
1413,G,1,1,1,2,1,2,1,1,1,0,1,1,2,0,1,3
1414,B,2,3,2,4,5,4,5,5,5,6,6,5,5,5,2,3
1415,B,4,4,4,4,4,4,5,5,6,6,6,4,2,4,4,5
1416,B,6,6,6,6,1,0,1,1,4,3,3,2,6,2,0,2
1417,C,3,2,3,4,2,3,2,0,1,1,0,4,3,2,3,5
1418,B,4,4,4,2,3,2,2,2,6,6,6,5,0,1,1,2
1419,B,1,1,2,0,6,6,6,3,0,0,0,2,0,1,2,4
1420,C,6,6,6,6,5,5,5,5,6,6,6,6,4,5,3,5
1421,B,1,1,1,3,5,5,3,5,5,6,6,6,0,1,2,4
1422,B,1,1,1,2,3,3,4,3,0,0,0,1,0,0,1,2
1423,B,6,6,6,5,1,3,4,3,6,6,6,6,6,5,2,6
1424,B,1,0,0,0,5,5,5,6,3,3,2,5,2,0,0,2
1425,B,6,6,6,6,1,1,2,1,2,3,3,1,1,2,3,2
1426,B,3,2,2,4,4,5,4,3,2,2,2,4,3,1,3,3
1427,B,0,0,0,0,4,5,5,6,0,0,0,0,0,1,1,0
1428,B,4,3,4,4,3,3,3,3,5,5,5,3,0,0,1,0
1429,B,4,4,3,4,1,2,2,1,6,6,5,6,6,3,0,2
1430,B,6,6,6,6,1,2,3,1,3,4,5,2,1,2,1,2
1431,B,6,6,6,6,2,2,1,0,1,0,0,0,5,1,2,2
1432,B,4,4,4,5,5,5,6,3,4,4,4,3,6,6,2,5
1433,B,6,6,5,4,0,0,0,0,2,1,2,5,0,0,0,4
1434,B,5,4,4,3,0,1,3,1,4,4,6,6,6,6,6,6
1435,B,0,0,0,0,6,6,5,6,2,3,1,5,2,2,2,3
1436,C,3,3,3,1,0,0,0,0,3,5,5,6,3,5,5,3
1437,B,2,3,3,3,2,2,2,0,6,6,6,6,5,5,6,1
1438,C,6,6,6,6,6,6,6,6,0,0,0,0,3,3,0,6
1439,C,5,6,6,6,2,1,1,0,2,2,2,3,3,1,3,0
1440,B,2,3,2,4,3,4,5,1,2,2,1,2,3,5,6,1
1441,B,6,6,6,6,0,0,0,0,3,5,6,3,4,5,5,4
1442,B,4,4,4,5,2,1,3,4,4,4,4,4,4,3,5,3
1443,B,0,1,1,1,3,4,5,2,0,0,0,1,0,0,0,2
1444,B,0,1,0,2,2,1,1,3,5,5,4,5,6,6,5,4
1445,C,5,5,5,6,2,2,2,1,0,1,1,2,3,4,1,3
1446,D,6,6,6,6,4,4,4,4,6,6,6,6,6,3,3,4
1447,B,2,2,2,1,1,2,3,1,5,5,6,6,1,3,4,5
1448,B,6,6,6,6,0,0,1,0,5,3,2,3,4,4,2,2
1449,B,2,3,2,3,4,3,3,4,4,3,4,2,0,0,0,6
1450,B,6,6,6,5,0,0,0,0,3,3,3,4,1,1,0,4
1451,B,6,6,6,6,0,0,0,0,3,1,1,4,1,0,2,4
1452,B,6,6,6,5,0,0,0,1,6,6,6,5,6,6,4,3
1453,C,3,3,3,3,4,3,4,5,3,1,2,2,5,3,1,2
1454,C,0,0,0,0,5,4,5,6,2,3,1,3,3,5,2,3
1455,B,0,1,2,2,5,5,5,4,0,1,1,0,4,4,5,4
1456,D,4,4,5,5,5,4,4,4,0,0,0,0,0,1,1,0
1457,C,1,1,1,1,3,3,1,4,3,2,2,3,4,4,2,6
1458,B,6,6,6,6,5,5,2,3,0,0,0,0,1,2,4,6
1459,B,6,6,6,5,2,2,2,1,3,4,3,3,3,4,5,1
1460,B,6,5,5,4,2,2,5,2,5,5,5,6,3,0,0,3
1461,B,1,0,0,1,5,4,4,5,2,1,1,1,5,3,4,3
1462,B,6,6,6,6,2,3,2,2,6,6,6,6,4,5,6,6
1463,B,6,6,6,6,0,0,0,1,6,6,5,4,3,4,5,1
1464,B,6,6,5,4,3,2,3,2,5,4,5,2,3,0,1,3
1465,B,2,1,1,2,3,5,5,2,2,1,2,3,1,3,4,1
1466,B,3,2,3,4,5,5,6,4,2,1,3,3,3,5,6,1
1467,B,5,4,4,2,2,0,0,1,3,4,4,4,0,0,0,5
1468,B,6,6,6,6,2,3,4,4,6,6,6,4,4,2,2,2
1469,B,3,4,4,5,3,2,2,1,3,4,4,5,4,5,5,5
1470,B,1,1,0,1,1,1,1,2,6,6,5,5,6,6,2,6
1471,B,2,3,2,3,2,1,3,1,5,4,3,6,3,3,3,5
1472,B,2,1,2,1,5,5,5,4,4,3,5,6,3,2,4,3
1473,C,2,2,0,1,5,5,5,5,6,6,5,2,6,6,6,6
1474,C,1,2,4,2,2,2,3,2,2,2,1,1,3,3,0,2
1475,B,2,2,2,2,3,4,3,3,2,1,1,2,4,3,5,2
1476,C,0,0,0,0,6,6,6,6,2,2,2,1,5,0,0,0
1477,B,1,0,0,1,3,4,3,2,4,4,6,3,4,6,6,4
1478,C,6,6,6,6,2,2,2,2,5,5,5,4,4,5,3,3
1479,C,0,0,0,0,6,6,6,6,1,0,0,1,2,4,2,3
1480,C,0,0,0,2,2,1,0,1,1,3,6,1,4,4,5,6
1481,B,2,2,1,1,2,2,2,3,4,2,3,6,1,1,2,3
1482,B,6,6,6,6,4,4,3,5,1,0,0,0,4,1,3,1
1483,C,2,3,2,2,4,3,4,4,1,1,1,3,4,3,4,1
1484,B,3,3,3,4,4,4,4,4,4,5,6,6,0,0,1,2
1485,B,4,4,3,4,2,2,1,2,1,4,3,4,2,4,2,2
1486,B,3,3,3,3,2,1,3,2,5,6,4,3,2,1,2,1
1487,B,5,5,5,5,4,4,4,4,0,0,0,0,0,0,0,0
1488,B,3,3,3,2,3,3,4,4,6,6,6,6,6,6,6,5
1489,B,4,5,5,5,1,1,0,2,0,0,0,0,0,0,0,0
1490,C,3,4,3,4,2,4,5,1,4,3,3,6,4,4,4,3
1491,B,3,4,5,4,4,3,4,4,3,4,4,2,5,4,1,5
1492,B,1,1,3,4,5,4,2,3,1,1,3,3,4,4,6,4
1493,B,0,0,1,0,1,1,1,0,5,6,6,3,6,6,6,2
1494,B,0,1,2,0,6,6,6,6,5,5,4,3,5,6,6,5
1495,B,6,6,6,6,1,1,1,2,5,4,2,3,2,3,1,0
1496,B,1,1,0,0,0,0,0,0,6,6,6,6,5,6,6,5
1497,B,2,1,1,2,4,4,5,2,1,2,2,2,5,4,5,4
1498,B,1,0,1,0,3,2,2,3,4,4,4,5,3,5,5,3
1499,C,3,3,2,0,5,5,5,4,2,1,2,1,1,0,0,1
1500,B,1,1,1,2,1,1,2,2,1,1,1,0,0,0,0,1
1501,C,1,1,1,1,3,3,3,4,6,6,6,4,6,6,6,5
1502,B,6,5,6,6,1,1,1,0,4,5,5,4,2,4,1,4
1503,G,5,5,5,5,4,4,3,4,0,0,0,0,6,2,3,2
1504,B,6,6,6,5,1,2,2,2,6,6,6,6,3,2,3,4
1505,B,2,1,1,1,3,3,3,3,3,2,3,3,5,5,5,5
1506,B,5,5,5,5,0,1,0,0,5,6,4,4,0,0,0,3
1507,B,6,6,6,6,0,1,1,2,4,3,3,5,3,3,5,3
1508,C,0,0,0,0,1,2,3,2,1,2,3,5,0,1,1,3
1509,B,2,1,1,1,3,4,4,1,4,4,5,4,5,6,6,2
1510,B,2,2,2,0,2,4,2,2,3,2,4,2,5,6,0,5
1511,B,1,1,1,2,4,3,3,4,4,5,5,1,5,6,3,1
1512,B,0,1,1,1,3,1,3,1,1,2,0,3,5,5,5,6
1513,C,3,4,3,2,5,4,5,4,6,6,6,5,6,6,6,6
1514,B,1,2,2,3,1,1,2,0,2,2,4,2,5,6,6,3
1515,B,2,1,1,1,5,5,4,6,5,6,6,2,4,4,2,0
1516,B,3,1,2,1,1,0,0,3,6,5,5,5,2,0,1,6
1517,B,3,4,4,4,1,1,0,1,3,1,3,5,5,5,6,3
1518,B,3,4,4,5,3,3,4,1,3,4,3,4,4,5,5,5
1519,B,3,2,1,1,2,2,2,1,1,0,0,1,2,2,4,2
1520,C,0,0,0,0,4,4,6,4,6,5,5,6,2,1,2,6
1521,B,2,3,4,3,6,6,5,6,2,1,1,3,2,0,0,2
1522,C,4,4,3,4,2,4,4,2,3,2,1,5,2,0,1,3
1523,B,5,4,4,3,3,3,5,3,4,5,4,2,0,0,0,4
1524,C,2,3,3,3,5,6,5,6,3,4,6,3,2,1,1,1
1525,B,5,5,5,4,1,1,2,1,5,4,4,6,5,5,6,6
1526,B,0,0,0,2,6,6,6,6,2,5,5,1,6,6,6,1
1527,D,3,4,4,4,5,4,2,3,2,3,3,6,1,3,3,2
1528,B,3,3,3,3,0,0,0,0,6,6,6,6,0,0,1,0
1529,E,6,6,6,6,5,4,4,5,1,1,2,5,0,0,1,3
1530,G,4,4,4,4,1,1,1,1,0,0,0,0,1,1,2,0
1531,C,1,1,1,0,6,6,6,6,3,2,2,4,1,1,2,5
1532,B,2,1,1,1,3,2,2,3,3,3,4,4,6,6,6,5
1533,B,6,6,6,5,0,0,0,0,6,6,6,6,2,2,3,4
1534,B,2,3,3,0,1,1,1,1,6,6,6,2,4,3,4,3
1535,B,2,2,2,3,3,2,2,1,5,6,6,6,6,6,6,5
1536,D,4,4,4,5,6,6,6,6,6,5,2,4,3,3,5,0
1537,D,0,1,1,1,5,3,2,5,0,0,0,1,3,4,5,0
1538,B,0,0,0,0,1,0,0,1,4,2,3,2,4,2,2,5
1539,B,1,1,1,2,5,5,6,3,2,3,5,2,5,5,6,6
1540,C,2,3,3,2,6,6,6,6,1,1,1,1,6,6,2,6
1541,B,2,1,2,3,2,3,4,2,4,3,5,5,6,6,6,5
1542,B,2,2,1,3,3,2,3,2,1,2,2,5,2,4,5,6
1543,B,0,0,0,0,6,6,6,6,3,3,3,2,5,5,6,4
1544,B,6,6,6,6,0,0,0,2,0,0,1,1,1,0,2,4
1545,B,6,6,6,6,1,0,0,0,3,2,2,5,0,0,0,5
1546,B,5,5,5,4,4,4,3,3,0,0,0,1,0,1,2,1
1547,B,2,1,1,0,4,3,4,6,5,4,3,2,6,4,3,5
1548,B,1,1,1,0,5,5,6,1,6,6,6,5,4,3,5,0
1549,C,4,4,5,6,2,3,4,1,2,3,3,2,3,4,1,0
1550,B,0,1,1,1,2,3,5,1,0,1,0,2,3,5,5,6
1551,C,1,2,2,2,2,3,2,1,2,4,3,4,3,5,6,5
1552,F,4,4,4,4,5,5,5,4,0,0,0,0,0,0,0,1
1553,C,2,1,1,0,2,2,1,4,3,3,2,4,5,5,6,3
1554,B,2,2,2,3,4,4,3,4,1,0,1,1,5,2,3,5
1555,B,2,1,0,4,3,2,1,2,1,1,2,1,2,3,2,3
1556,C,4,4,4,5,5,5,4,5,3,1,1,1,6,5,6,5
1557,C,0,1,0,1,2,3,2,4,5,5,3,4,4,4,5,5
1558,B,2,2,2,0,1,1,0,0,3,2,1,3,2,2,2,3
1559,B,6,5,5,4,1,0,0,0,5,4,4,1,3,4,4,1
1560,B,0,0,0,0,2,2,3,3,4,3,3,5,3,4,1,6
1561,B,4,3,3,4,6,5,4,5,6,5,6,6,5,2,4,2
1562,C,6,6,6,5,0,0,0,0,3,4,5,6,4,3,4,6
1563,B,1,1,3,1,2,2,4,2,6,6,5,6,3,3,4,4
1564,B,3,2,3,4,4,3,1,3,4,5,5,5,6,6,3,6
1565,C,5,5,5,4,1,2,2,4,5,6,6,3,0,1,2,4
1566,B,0,1,1,3,5,5,6,4,5,4,6,2,6,5,6,3
1567,B,6,6,6,6,3,1,2,0,5,5,5,6,4,5,1,5
1568,B,4,5,5,5,1,0,0,0,3,4,3,5,4,2,3,6
1569,B,4,4,3,4,6,5,5,6,5,6,6,5,3,4,5,3
1570,B,1,1,0,1,3,4,5,3,1,0,0,0,5,5,5,3
1571,D,1,2,3,3,6,6,6,6,0,0,0,1,1,2,2,5
1572,B,6,6,6,4,1,1,2,3,5,4,5,4,2,3,4,2
1573,B,4,5,5,5,2,2,3,1,3,3,2,4,0,0,0,2
1574,C,5,5,6,5,6,6,4,4,5,5,6,6,2,2,4,6
1575,B,6,6,6,6,4,4,4,4,0,0,0,0,0,0,0,0
1576,B,0,1,1,1,5,3,3,4,1,1,0,1,1,2,0,3
1577,B,2,2,2,4,6,5,5,5,3,6,4,5,5,6,3,0
1578,C,3,3,3,4,6,5,6,6,4,5,3,3,3,2,3,0
1579,B,6,6,6,6,2,2,2,3,6,6,6,6,6,6,6,6
1580,B,3,3,3,5,3,4,4,2,3,3,2,1,4,3,3,1
1581,B,3,4,4,5,2,2,2,1,2,2,3,2,4,3,2,1
1582,C,2,2,2,4,3,4,5,3,4,5,4,3,5,4,4,5
1583,B,6,6,6,5,3,3,3,3,4,5,4,6,3,5,4,6
1584,B,1,2,1,2,0,0,0,0,5,6,6,5,5,5,6,5
1585,B,3,3,3,3,0,0,0,1,3,2,4,0,3,2,2,0
1586,B,6,6,6,6,6,4,3,4,5,6,6,6,5,6,6,5
1587,C,0,0,0,0,5,4,5,4,4,3,3,5,5,6,6,6
1588,B,3,4,3,4,3,2,2,3,2,1,2,0,2,0,0,2
1589,C,3,3,2,2,1,1,1,1,6,6,6,6,6,6,4,3
1590,B,6,6,6,6,0,0,0,0,6,4,3,1,4,2,3,0
1591,B,3,4,4,3,4,5,6,3,5,5,6,6,2,3,5,1
