,fire_size_class,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont
3605,B,3,2,2,4,5,4,4,5,5,5,4,6,6,6,6,2
3606,D,3,3,3,4,5,5,5,3,3,4,4,6,6,5,6,5
3607,C,6,6,6,6,1,2,3,1,2,2,2,1,2,4,0,0
3608,B,2,2,3,3,5,4,4,5,2,3,3,2,4,5,3,5
3609,B,4,4,4,5,1,1,2,1,1,2,3,4,3,3,5,3
3610,B,5,5,5,6,3,2,2,2,5,4,3,3,3,2,3,4
3611,B,5,5,6,6,1,1,1,2,2,5,4,1,1,3,3,1
3612,B,0,1,2,1,5,6,5,6,3,3,2,4,4,6,6,6
3613,C,2,2,1,2,1,2,2,1,1,2,2,1,2,4,5,5
3614,B,6,6,6,6,6,6,6,4,3,4,5,2,3,5,6,0
3615,C,3,4,4,3,2,1,2,2,4,5,6,5,5,5,5,3
3616,B,5,4,4,3,2,3,4,4,3,4,3,4,5,3,3,2
3617,C,2,2,1,4,3,2,3,2,4,6,6,4,5,5,6,4
3618,B,5,5,5,4,0,0,0,0,1,2,1,4,0,0,0,4
3619,B,4,4,4,4,3,3,2,3,0,0,0,1,1,2,2,3
3620,B,1,0,0,0,1,1,0,1,1,1,1,1,5,2,2,2
3621,C,3,4,4,4,4,3,4,1,3,3,2,4,2,0,0,4
3622,B,3,2,3,1,4,4,6,5,2,2,2,2,3,0,0,4
3623,B,6,6,6,6,0,0,0,0,6,6,6,6,4,5,5,3
3624,B,3,3,3,4,1,1,2,2,0,0,0,0,2,1,2,0
3625,B,4,3,2,0,0,0,1,0,0,0,0,6,0,0,1,0
3626,C,2,2,1,4,6,5,4,5,2,2,1,4,5,1,3,3
3627,B,0,0,0,0,2,2,2,3,4,5,4,5,2,2,3,2
3628,C,0,1,0,1,3,3,2,2,1,2,1,6,5,5,5,6
3629,B,6,6,6,5,0,0,0,1,4,4,2,4,5,5,3,2
3630,B,2,3,4,4,4,4,5,4,0,2,0,0,1,2,2,0
3631,B,3,3,3,4,3,3,3,2,0,1,0,2,3,4,5,6
3632,B,0,0,0,1,6,6,6,6,2,2,5,2,6,6,6,4
3633,B,2,1,1,0,2,1,2,1,5,5,3,5,5,5,3,4
3634,B,3,3,3,3,3,3,4,2,6,6,6,3,5,4,6,0
3635,C,0,0,0,0,0,0,0,1,3,4,2,6,4,5,4,1
3636,B,5,5,5,6,6,6,6,4,6,6,6,6,6,6,6,5
3637,C,6,6,6,6,6,6,6,5,1,1,2,4,0,0,0,3
3638,B,5,5,5,5,0,0,0,0,4,5,5,5,5,6,6,6
3639,B,1,1,0,1,0,0,0,2,4,6,2,5,1,2,3,4
3640,C,1,2,2,2,2,3,3,1,3,4,4,4,3,5,6,5
3641,B,0,1,1,1,3,2,4,2,4,2,2,2,6,5,6,6
3642,B,2,3,3,3,4,4,4,4,5,4,5,6,5,2,0,1
3643,B,4,4,4,5,5,5,3,2,3,3,3,2,2,3,4,2
3644,C,3,2,2,0,0,0,0,0,6,3,2,3,4,2,1,4
3645,B,1,1,1,1,1,0,0,0,4,5,3,6,5,5,4,4
3646,B,3,2,2,0,3,5,4,3,6,5,4,5,4,2,3,4
3647,B,3,3,2,4,3,5,3,2,2,3,3,3,5,5,6,0
3648,B,6,6,6,6,6,6,5,6,1,0,0,1,6,1,3,6
3649,B,1,0,0,2,1,2,2,1,4,5,6,3,5,6,6,5
3650,B,1,0,0,2,5,5,5,4,3,3,3,3,5,4,5,5
3651,B,6,6,6,6,0,0,0,1,3,5,4,5,5,4,2,6
3652,B,4,4,3,2,4,4,4,3,5,5,5,4,2,2,2,1
3653,B,0,0,0,0,4,5,6,5,1,0,2,1,1,2,4,3
3654,B,6,6,6,6,1,2,3,0,4,4,2,3,5,5,4,3
3655,B,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2
3656,B,4,4,3,3,3,4,6,4,4,4,2,5,2,3,5,6
3657,B,6,6,6,6,3,2,1,3,1,1,2,1,0,0,0,2
3658,B,1,1,1,2,2,3,2,3,5,5,4,2,5,6,6,4
3659,C,4,4,4,2,4,5,6,6,0,0,2,0,0,2,2,0
3660,B,3,3,3,4,5,3,3,2,5,4,4,6,6,6,6,5
3661,C,1,0,0,1,5,5,5,6,2,3,2,3,1,3,3,2
3662,B,1,1,0,2,6,6,6,6,3,3,6,2,6,6,6,6
3663,B,3,3,2,0,1,2,2,1,6,6,6,4,5,4,3,0
3664,C,5,5,6,6,3,4,5,1,4,4,4,3,2,1,1,3
3665,B,4,3,3,1,3,2,3,3,5,6,4,6,6,6,5,3
3666,B,1,0,0,0,3,3,2,1,6,6,6,6,6,5,5,2
3667,B,0,0,0,0,5,4,5,6,4,3,1,2,1,2,0,3
3668,C,5,6,6,6,6,6,6,6,0,0,0,0,0,0,0,1
3669,B,1,1,1,2,3,3,5,3,0,0,0,2,3,4,5,3
3670,B,5,6,6,5,4,3,3,4,0,0,1,5,1,1,2,4
3671,B,6,6,5,5,2,1,3,5,3,1,2,4,3,1,1,6
3672,B,3,3,2,1,0,0,0,0,4,4,6,6,4,4,5,4
3673,C,0,0,0,0,1,1,1,2,3,1,2,2,2,3,2,4
3674,B,0,0,0,1,2,1,2,2,3,3,3,2,6,5,6,4
3675,B,0,0,0,0,4,5,5,5,1,2,3,2,3,4,5,4
3676,B,5,5,5,6,6,6,6,6,3,4,5,2,4,6,5,3
3677,B,6,6,6,6,0,0,0,0,2,2,4,3,1,3,4,1
3678,B,6,6,5,4,0,0,1,0,5,5,6,4,3,5,4,3
3679,B,4,3,2,3,2,2,3,2,1,1,3,3,0,0,1,1
3680,B,6,6,6,6,6,5,5,6,6,6,6,6,6,6,1,5
3681,B,6,6,6,5,1,2,3,1,4,3,3,6,1,1,0,6
3682,B,3,2,2,0,4,2,4,3,0,0,0,0,6,0,0,0
3683,B,0,0,0,0,6,6,6,5,3,2,2,0,4,4,6,1
3684,B,2,2,2,2,2,1,3,0,2,4,3,6,3,3,2,6
3685,C,6,5,5,3,6,6,6,5,0,0,1,3,1,1,3,6
