,fire_size,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont
73,7.0,25.31217184,24.43140965,22.96558704,19.75428292,2.321622912,2.595364238,3.49534413,2.0319628,71.04719324,69.29035433,63.05042017,77.63980529999998,53.4,13.7,8.1,64.8
74,1.0,11.8416198,13.20422222,12.36368715,14.50049358,2.383239595,2.374666667,2.903910615,2.496544916,58.30708661,56.29555556,41.44134078,70.68972332,102.0,51.5,20.8,58.1
75,8.0,1.102795031,4.104861111,1.807986111,10.35212528,4.730512421999999,4.119444444,3.556944444,3.5053691280000003,73.67493995,69.7876588,72.12222222,59.96726862,63.5,35.6,8.9,40.9
76,1.0,25.24286383,24.78107607,23.90039841,21.62721342,1.534411627,1.41996286,1.403784861,2.079962721,76.8806391,72.76230269,71.14143426,66.88397018,76.4,28.3,0.3,13.8
77,2.0,18.25439331,19.70320641,22.57920792,22.84744608,3.811401674,3.576953908,3.52029703,4.003412968999998,71.81422505,74.07010309,67.12182741,67.20457143,91.1,59.6,5.6,107.4
78,2.0,3.856309835,7.689051095,9.234628975,13.94552381,2.197009675,1.463011152,1.7925,2.2839423080000003,74.1561939,69.73603083,78.01532567,57.28042843,113.0,89.0,85.2,173.9
79,1.5,24.42647059,24.92459016,25.91347518,27.01954733,4.139918534,4.344808743,4.654255319,3.0193814430000003,68.7586558,72.60837887,77.35815603,71.62264151,9.8,0.6,0.6,135.4
80,7.0,17.96886675,18.3101737,15.70056497,19.78589421,3.973611111,4.13071066,3.977647059,3.151958225,71.85220994,68.78089888,63.15757576,72.02269289,46.5,30.0,5.1,39.9
81,1.0,4.6618990380000005,6.379123711,6.895073892,13.60340219,2.7387951810000004,2.177002584,2.413793103,2.9735115430000003,64.63954944,56.43279570000001,70.2606383,64.81971466,14.3,2.3,0.3,45.5
82,3.0,26.52183673,28.20177778,28.31603774,26.69,0.8633673470000001,0.623555556,0.61745283,0.846555556,73.17717391,69.2575406,68.27536232,79.43699422,23.4,11.5,5.6,136.2
83,1.2,12.80410095,13.83161512,13.57453704,12.38535593,2.36382755,2.543986254,2.868981481,2.101423729,69.82932692,73.26766595,69.57075472,77.9375,22.7,21.7,14.4,238.4
84,2.0,23.92220957,23.48734177,23.8357513,21.56688963,1.677107062,1.853417722,1.786528497,1.472433036,70.57928389,66.85,69.28651685,75.41104294,61.0,35.1,31.8,146.5
85,7.0,5.5835073070000005,8.312992126000001,9.846153846,8.1107628,2.755219207,2.423425197,2.460180995,3.385235602,66.49407583,72.1624714,70.35204082,67.57705287,39.2,38.7,13.0,139.9
86,7.0,8.577181207999999,12.12312925,11.55,14.35654822,4.599731544,4.520861678,5.1285,3.783959391,69.28590604,65.45351474,64.73,72.57942974,181.5,94.1,43.4,231.6
87,1.0,23.1664919,22.28374291,23.19107505,27.74394662,2.64056244,2.200756144,1.776876268,2.365204957,68.17302193,63.27693762,68.44421907,58.57340324,15.7,12.9,12.9,12.2
88,13.5,8.557265877,8.594230769,8.245991561,15.820325199999996,2.751130248,3.2311965810000003,3.033755274,2.76453252,60.37899543,57.89366516,61.7260274,67.76450116,156.0,63.0,59.4,122.8
89,2.0,13.58007566,13.91089109,13.05027933,16.62310385,4.24627995,3.764356436,3.206145251,3.554842474,65.1443299,66.87068966,65.6954023,69.6567718,63.8,25.8,3.8,115.4
90,1.5,6.981751825,6.798053528,5.682539683,13.10909091,3.706138107,3.946446701,4.276373626,3.244062947,67.61708395,67.73255814,66.90184049,61.42615385,18.0,12.8,7.6,3.6
91,1.0,8.980480905,11.08886792,15.17654321,17.40584687,4.308580858,4.0530188680000006,4.058641975,3.866589327,66.31099575,65.14177694,49.28719008,76.56191806,25.0,11.5,2.8,168.7
92,5.0,28.89859155,27.93837535,28.06586826,29.17780939,2.64971831,2.411764706,2.325748503,2.000711238,65.96006144,68.32792208,68.11029412,59.38646617,14.3,7.2,3.6,16.0
93,42.14,4.900845865,5.707663551,6.4873303170000005,11.91052632,2.559492481,2.013271028,2.092307692,2.21645933,70.10935857,70.44206009,63.06282723,67.37536946,291.5,69.9,18.2,120.8
94,2.0,13.47725784,13.54666667,12.01984127,8.82129153,4.18905007,4.735925926,5.019444444,4.060177819,65.7215723,63.46388889,54.4047619,61.25081891,29.8,3.6,3.3,27.9
95,1.83,8.583608147,8.63946281,7.9845528460000015,15.79569536,3.490397672,3.423553719,4.027235772,2.9183222960000004,71.89970789,69.17975207,75.69918699,56.98454746,305.0,79.4,77.4,25.8
96,5.0,12.74019851,15.14810127,14.52192513,17.362225100000003,2.282506203,2.770126582,3.314973262,2.082579787,66.75254731,63.85595568,54.18471338,68.0483871,43.5,42.2,1.0,19.2
97,4.0,25.0408805,24.92873563,25.11538462,23.38295165,1.630922432,1.994252874,2.515384615,2.2664122140000003,79.34189944,76.17745803,71.65384615,66.68717949,39.6,8.5,2.1,0.3
98,508.0,5.422031474,9.469740633999999,8.535714286000001,12.42279942,4.660515021,4.968876081,4.238690476,3.828282828,63.96974063,58.07492795,48.54761905,63.92139738,50.3,26.9,3.8,99.0
99,20.0,23.07392996,25.9348249,26.1511879,23.607909600000006,1.421206226,1.0692607,1.257883369,1.329152542,68.63175840000001,73.25073171,74.47505423,76.20317821,41.5,0.8,0.8,15.9
100,1.0,9.753585398,9.214285713999999,10.396449699999998,15.2686747,3.661538462,3.708516484,3.69704142,3.815180723,61.2442953,57.70338983,63.45283019,69.34754522,55.8,29.0,27.0,130.8
101,2.17,9.135443038,7.803587444,7.854545455,13.56508121,3.16329849,3.077578475,3.0459595960000003,3.0207656610000004,67.70365535,68.49131514,69.08743169,68.40074906,39.3,25.8,1.1,73.3
102,13.36,16.86391153,17.66361446,15.19802956,18.7410817,2.544121071,2.817590361,3.4945812810000003,2.852934407,67.16109046,67.27525253,63.18279570000001,64.95498783,10.7,8.4,8.4,38.9
103,20.0,4.157356322,6.550252525,8.03015873,13.92620614,3.575086505,3.5262626260000003,3.703174603,4.339692982,69.47412756,65.57506361,64.96296296,66.18953488,41.8,13.3,12.5,35.1
104,1.17,13.9709571,16.81556017,17.7,17.61773399,1.98129813,1.602697095,2.11826087,2.847487685,69.31133113,74.65767635,76.90869565,73.69261084,35.1,16.6,16.6,269.0
